conf,target_ca_rmsd,siip_volume
0,0.000,281.766
1,0.129,289.247
2,0.259,280.531
3,0.388,291.549
4,0.518,286.452
5,0.647,392.616
6,0.776,405.204
7,0.906,400.67
8,1.035,718.441
9,1.165,731.908
10,1.294,720.398
11,1.424,687.538
12,1.553,375.141
13,1.682,411.133
14,1.812,659.156
15,1.941,751.488
16,2.071,841.002
17,2.200,790.388
